name,count
England,35
Texas,27
Florida,23
California,21
New York,16
Pennsylvania,15
Indiana,14
Oregon,12
Ohio,12
Illinois,12
Washington,11
Virginia,10
State of Victoria,9
Colorado,9
British Columbia,8
Wisconsin,8
Massachusetts,8
Oklahoma,8
Alberta,7
Georgia,7
State of Queensland,7
North Dakota,7
Missouri,7
Scotland,6
Wales,6
Alabama,5
Provincie Noord-Holland,5
State of Western Australia,5
Michigan,5
North Carolina,5
Maryland,5
Kansas,5
State of South Australia,5
Arizona,4
Ontario,4
Connecticut,4
State of Tasmania,4
New Jersey,4
Alaska,3
Gisborne,3
Wyoming,3
Tennessee,3
Moskva,3
Ostān-e Kordestān,3
Kentucky,3
Louisiana,3
Québec,3
Grad Zagreb,3
Nebraska,3
Saskatchewan,2
Misto Kyyiv,2
Lazio,2
Sofia-Grad,2
Steiermark,2
Oslo County,2
Catalunya,2
Hawaii,2
District of Columbia,2
Distrito de Lisboa,2
Republika Srpska,2
Vermont,2
Iowa,2
Mississippi,2
Nevada,2
Northern Ireland,2
Rhode Island,2
State of Punjab,1
Mimaropa,1
Central Visayas,1
Dubai,1
Arkansas,1
Artemisa,1
Provincia de Lima,1
Attica,1
Australian Capital Territory,1
Baden-Württemberg Region,1
Bavaria,1
Bratislava,1
Canton de Berne,1
Federation of Bosnia and Herzegovina,1
Mestna Občina Ljubljana,1
Wien,1
Budapest,1
Montana,1
Canterbury,1
Central Serbia,1
Ciudad Autónoma de Buenos Aires,1
Connaught,1
Delaware,1
Departamento del Valle del Cauca,1
Departamento de Norte de Santander,1
Emilia-Romagna,1
New Providence District,1
Nova Scotia,1
Maine,1
Principality of Asturias,1
Gauteng,1
Primorsko-Goranska Županija,1
Iaşi,1
Vinnyts’ka Oblast’,1
İzmir,1
Leinster,1
Long Island,1
Lower Saxony,1
Manitoba,1
South Dakota,1
Rostovskaya Oblast’,1
Odes’ka Oblast’,1
National Capital Region,1
Oblast Kardzhali,1
Województwo Pomorskie,1
Okinawa,1
Piemonte,1
Paraná,1
Provinsi Lampung,1
Województwo Mazowieckie,1
Seoul,1
Gyeonggi-do,1
Varna,1
Suceava,1
Thessaly,1
Thuringia,1
Trelawny,1